ideally	idealmente
chronic	crónico
ruin	ruina
despoil	despojar
irony	ironía
admonish	amonestar
treacherous	traicionero
tamper	antisabotaje
sickness	enfermedad
absentee	ausente
conspiracies	conspiraciones
handicapped	discapacitados
refunded	reintegrado
inarticulate	inarticulado
disloyal	desleal
cheat	engañar
niggles	peros
damn	maldito
really	realmente
shamelessly	desvergonzadamente
sweeten	dulce
mysterious	misterioso
disagreement	desacuerdo
exult	exultar
enterprising	emprendedor
bothers	molesta
fortune	fortuna
incommensurate	inconmensurable
luckier	suerte
rewardingly	recompensadoramente
intelligent	inteligente
easygoing	acomodadizo
better	mejor
abrupt	abrupto
outrageously	atrozmente
coherence	coherencia
dungeons	mazmorras
adulatory	adulador
undermines	socava
mistaken	equivocado
excuses	excusas
stylishly	elegantemente
vexing	irritante
extremely	extremadamente
drunken	borracho
illuminate	iluminar
apathetic	apático
conflict	conflicto
enthuse	entusiasmar
sarcastically	sarcásticamente
